id,transaction_type,date_run
PWKLXxGZI1On2kRcwM8Hxw,delivery,2022-08-16 00:00:00
IsWM7BrvfZgZfZnC22_64w,delivery,2022-08-16 00:00:00
IsWM7BrvfZgZfZnC22_64w,pickup,2022-08-16 00:00:00
mMMCajfv-XQ9PzzUds04vg,delivery,2022-08-16 00:00:00
fxyHWmfzcdjImgQ_UYHoTw,delivery,2022-08-16 00:00:00
nQvpbUSWSgXEMcMDE08cIA,delivery,2022-08-16 00:00:00
N5MH5TjH26QW9_SeYGaaQA,delivery,2022-08-16 00:00:00
kU4i3s3r0r47XYHYryyQhw,delivery,2022-08-16 00:00:00
qq19cwB6mvawgZ9IFn634A,delivery,2022-08-16 00:00:00
qq19cwB6mvawgZ9IFn634A,pickup,2022-08-16 00:00:00
FI5Ed1U9ML38Ey3iq1UQaQ,delivery,2022-08-16 00:00:00
KjPEiaNnCeDTX5FgqofE9A,delivery,2022-08-16 00:00:00
KjPEiaNnCeDTX5FgqofE9A,pickup,2022-08-16 00:00:00
5VVGeQdGO3wVK4Gmd-9k-Q,delivery,2022-08-16 00:00:00
wAK2nacc15ZNhyDKKFFImw,delivery,2022-08-16 00:00:00
8Puu4LRQRMyQN4xeAkN-Ug,delivery,2022-08-16 00:00:00
8Puu4LRQRMyQN4xeAkN-Ug,pickup,2022-08-16 00:00:00
mp3KT0jgce1_4GoFBoGB_A,delivery,2022-08-16 00:00:00
mp3KT0jgce1_4GoFBoGB_A,pickup,2022-08-16 00:00:00
EWrDx-M8HJpR0wVJHrflNg,delivery,2022-08-16 00:00:00
wxXMzqN0nXOMw9HYv2rhOQ,delivery,2022-08-16 00:00:00
PpAiLhErwd08QhPb06_-hA,delivery,2022-08-16 00:00:00
PpAiLhErwd08QhPb06_-hA,pickup,2022-08-16 00:00:00
oMy_YkyYr8u1_xs_WHkn8w,delivery,2022-08-16 00:00:00
19RsZR7lPGpFEy2NfD8JSA,delivery,2022-08-16 00:00:00
19RsZR7lPGpFEy2NfD8JSA,pickup,2022-08-16 00:00:00
ZurO5gfnLOak4Uap_o9G5w,delivery,2022-08-16 00:00:00
ukAVl19L4tdFOqNeZOhHQQ,delivery,2022-08-16 00:00:00
PwHQ4CCpDR1ODxuOMH1kyg,delivery,2022-08-16 00:00:00
bRkQjkgbZlPGNOgW72eyKg,delivery,2022-08-16 00:00:00
bRkQjkgbZlPGNOgW72eyKg,pickup,2022-08-16 00:00:00
qduulr6UcVzNK98R7tSt0Q,delivery,2022-08-16 00:00:00
9nJlVsm9GEz6DFhK5ckaYA,delivery,2022-08-16 00:00:00
mNdz7zdezTkiuk8S-cIKxg,delivery,2022-08-16 00:00:00
mNdz7zdezTkiuk8S-cIKxg,pickup,2022-08-16 00:00:00
JKGoWWTmoc9wprDAMdI-0w,delivery,2022-08-16 00:00:00
JKGoWWTmoc9wprDAMdI-0w,pickup,2022-08-16 00:00:00
iXq_Hq0zcmLUuw1k6Q_1Ig,delivery,2022-08-16 00:00:00
fJkrI9rT0BdsadIGuLbBSg,delivery,2022-08-16 00:00:00
4DT0mvC9Ox_sVVHJwta7Pw,delivery,2022-08-16 00:00:00
3S56qa2qVSuFZrmlyWKaNA,delivery,2022-08-16 00:00:00
aa7o97Naa4gdDL70oUmNiQ,delivery,2022-08-16 00:00:00
RS-Hlsx7k90m5QODHDs5Cg,delivery,2022-08-16 00:00:00
RS-Hlsx7k90m5QODHDs5Cg,pickup,2022-08-16 00:00:00
M5gjalaqrlkVm55RHqiaaA,delivery,2022-08-16 00:00:00
FrHhYevaOhs40xpuOpQiHg,pickup,2022-08-16 00:00:00
rGWsX_7SDtgPYXF6subJ3w,delivery,2022-08-16 00:00:00
rGWsX_7SDtgPYXF6subJ3w,pickup,2022-08-16 00:00:00
FQZQ19O53EYRtnzy6Pmw6g,delivery,2022-08-16 00:00:00
FQZQ19O53EYRtnzy6Pmw6g,pickup,2022-08-16 00:00:00
hGxKFXlzvl21rjvfLePWWw,pickup,2022-08-16 00:00:00
hGxKFXlzvl21rjvfLePWWw,delivery,2022-08-16 00:00:00
cHdeTxAl2Z6zZKUtyeJHaA,pickup,2022-08-16 00:00:00
cHdeTxAl2Z6zZKUtyeJHaA,delivery,2022-08-16 00:00:00
L2IFijBobbiWOvhISe90PQ,delivery,2022-08-16 00:00:00
s3VJhNx6sdeNGCcWET-vOQ,delivery,2022-08-16 00:00:00
oOVlLL4bZ-wAeoi_k0OUmg,pickup,2022-08-16 00:00:00
oOVlLL4bZ-wAeoi_k0OUmg,delivery,2022-08-16 00:00:00
NL5R9ta9czJ-GyjKpLwPdg,pickup,2022-08-16 00:00:00
NL5R9ta9czJ-GyjKpLwPdg,delivery,2022-08-16 00:00:00
XRq4pEDqhwdU0byGwszCFA,delivery,2022-08-16 00:00:00
LfiBtlftLQOntVHULzpUlA,delivery,2022-08-16 00:00:00
nT3E2EORXiaX2aAvUIsVBg,delivery,2022-08-16 00:00:00
3PteyRHLY42hWpL1wMl4Ig,pickup,2022-08-16 00:00:00
3PteyRHLY42hWpL1wMl4Ig,delivery,2022-08-16 00:00:00
kPw2ObI9FWLDB1EyzcBLrg,pickup,2022-08-16 00:00:00
kPw2ObI9FWLDB1EyzcBLrg,delivery,2022-08-16 00:00:00
gFJ5odOUmD65EOrwv-Xf7w,pickup,2022-08-16 00:00:00
gFJ5odOUmD65EOrwv-Xf7w,delivery,2022-08-16 00:00:00
duu0PHYLfb5bndqcNEVS2Q,delivery,2022-08-16 00:00:00
VFUabHvfP4_WM2Uu5RqVVg,pickup,2022-08-16 00:00:00
VFUabHvfP4_WM2Uu5RqVVg,delivery,2022-08-16 00:00:00
uHT6tk6YtCDQST9fJJOCow,delivery,2022-08-16 00:00:00
_3wrETt6P6f41qZUYCu76w,delivery,2022-08-16 00:00:00
I3SWFOJ-g3oFyMGqZw50bQ,delivery,2022-08-16 00:00:00
w9TR9_rj_rtQCBu82i4xBA,delivery,2022-08-16 00:00:00
FdXeE401B1cVGnjLYu85zg,delivery,2022-08-16 00:00:00
aX2ctpgS9uvFDfdzCXjecA,delivery,2022-08-16 00:00:00
KK_lUv1pju4gwdolkLoG2A,pickup,2022-08-16 00:00:00
KK_lUv1pju4gwdolkLoG2A,delivery,2022-08-16 00:00:00
iEKfq5td_rawmJit6-a5ng,delivery,2022-08-16 00:00:00
